Shinjuku,"35.69047,139.6992",,0
Minami-Shinjuku,"35.68316,139.6982",,0.8
Sangūbashi,"35.67813,139.6933",,0.7
Yoyogi-Hachiman,"35.66945,139.6884",,1.2
Yoyogi-Uehara,"35.66849,139.6788",,0.8
Higashi-Kitazawa,"35.66508,139.6725",,0.7
Shimo-Kitazawa,"35.66150,139.6672",,0.7
Setagaya-Daita,"35.65814,139.6608",,0.7
Umegaoka,"35.65624,139.6543",,0.7
Gōtokuji,"35.65411,139.6481",,0.7
Kyōdō,"35.65151,139.6378",,1
Chitose-Funabashi,"35.64791,139.6253",,1.2
Soshigaya-Ōkura,"35.64302,139.6089",,1.4
Seijōgakuen-Mae,"35.63981,139.5980",,1
Kitami,"35.63613,139.5855",,1.1
Komae,"35.63162,139.5767",,1.1
Izumi-Tamagawa,"35.62680,139.5733",,0.6
Noborito,"35.62007,139.5688",,0.8
Mukōgaoka-Yūen,"35.61683,139.5635",,0.6
